Pres Vapor Caldeira;Tx Compressao Matriz;Afastamento Rolos;Amperagem Condicionador;Velocidade Alimentador;Porc Temp Condicionador;Pressao Vapor;Amperagem Peletizadora;Porc Finos Tyl6;Porc Pdi Tyl6
8,9;15;0;39;40;70;1,5;651;15,36945812807881773399014778325123152709;81,6
9,4;18;0;49;72;77;1,7;635;9,69125214408233276157804459691252144082;87,8
9,3;18,94;0;39;46;68;1,6;638;12,08333333333333333333333333333333333333;86,2
8,7;18;0;41;70;78;1,7;617;7,40418118466898954703832752613240418118;91,2
8,3;15;0;38;38;71;1,6;622;12,94227188081936685288640595903165735568;84,2
9,3;18;0;47;77;73;1,7;616;16,91588785046728971962616822429906542056;83,2
9,4;15;0;39;41;67;1,5;663;12,9401408450704225352112676056338028169;85,8
9,4;18,75;0;40;46;74;1,5;654;11,59663865546218487394957983193277310924;84,6
8,9;18,75;0;40;73;81;1,7;599;17,85009861932938856015779092702169625247;75,6
9,1;18,75;0;39;73;85;1,6;638;12,32142857142857142857142857142857142857;83,2
9,1;18,94;0;41;44;75;1,4;620;14,25925925925925925925925925925925925926;79,6
9,1;18,94;0;40;73;78;1,7;632;10,61507936507936507936507936507936507937;79,8
9,3;18;0;40;83;81;1,6;635;14,71734892787524366471734892787524366472;78,8
9,2;15;0;41;45;74;1,4;653;19,27592954990215264187866927592954990215;73,2
9,2;18,75;0;37;75;79;1,7;621;14,98054474708171206225680933852140077821;76,2
9;18,94;0;40;44;75;1,5;633;15,31841652323580034423407917383820998279;78,4
9,2;18;0;46;83;75;1,6;618;12,88032454361054766734279918864097363083;75
8,9;15,15;0;41;44;72;1,4;654;14,95575221238938053097345132743362831858;84,4
9,3;15;0;40;41;71;1,6;652;15,00974658869395711500974658869395711501;80,4
9,2;15;0;40;43;71;1,5;661;15,98915989159891598915989159891598915989;85,2
8,2;18;0;48;71;78;1,7;653;14,85981308411214953271028037383177570093;81,2
8,6;15;0;40;42;71;1,6;590;13,82608695652173913043478260869565217391;84,2
7;15;0;42;42;73;1,5;655;16,57355679702048417132216014897579143389;78,4
8,9;15,15;0;41;70;70;1,6;588;12,48817407757805108798486281929990539262;79
9,4;15;0;40;45;70;1,6;641;14,69194312796208530805687203791469194313;80,6
9,4;18;0;46;71;76;1,7;624;9,21501706484641638225255972696245733788;81
9,1;15;0;40;40;71;1,6;665;9,41385435168738898756660746003552397869;80,6
8;18;0;45;71;76;1,7;623;16,01307189542483660130718954248366013072;80,6
8,6;18;0;42;66;77;1,7;627;6,34662327095199349064279902359641985354;87,6
8,6;15;0;39;35;71;1,6;644;16,91729323308270676691729323308270676692;80,6
8,7;18;0;48;78;75;1,7;599;15,85253456221198156682027649769585253456;81
9,3;18,75;0;46;68;76;1,7;634;14,20361247947454844006568144499178981938;81,2
9;18,75;0;53;73;75;1,8;566;15,57632398753894080996884735202492211838;78,6
8,9;18,94;0;40;41;73;1,8;577;9,63194988253719655442443226311667971809;85
